Name,Address,City,State,Website,Phone,Email,Services,Formats,Develop_Only_35mm,Develop_Scan_35mm,Develop_HiRes_35mm,Develop_Print_35mm,Express_Service,Turnaround,Special_Services,Mail_In,Notes
Halide Express,"China Town, Melbourne CBD",Melbourne CBD,VIC,,,,"C-41, B&W, E-6","35mm, 120",,,,,Available,Fast turnaround times,Sister location to Halide Supply,,"Mon, Tue, Thu, Fri, Sat 12-5pm"
Fotofast,"198/200 Moggill Rd, Taringa QLD 4068",Taringa,QLD,https://fotofast.com.au,(07) 3229 5083,,"C-41, B&W, E-6","35mm, 120, 220, APS, 110, 126",,$16,,Available,Same day (1-4 hours),2 hours - 4 days,"Longest operating one hour lab, capacity for 250+ films/day",Yes,"Mon-Sat processing, professional grade equipment"
Your Local Film Lab,"1A/24 O'Connell St, West End, QLD 4101",West End,QLD,https://yourlocalfilmlab.com,,info@yourlocalfilmlab.com,"C-41, B&W","35mm, 120",,,,,Available,4-6 days,"Multiple drop-off locations, online ordering system",Yes,"Tue-Sat 10am-4pm, independent lab"
Poji Film Lab,"Parkwood, Gold Coast",Gold Coast,QLD,https://www.pojifilmlab.com.au,,,"C-41, B&W, E-6, Remjet, 120, large format","35mm, 120, large format",$10,$19,$24,,Available,Fast turnaround,"Student discounts, loyalty program, charity donation (50¢/roll)",Yes,All online order form system
Lazarus Lab,"Burleigh Heads, Gold Coast",Burleigh Heads,QLD,https://www.lazaruslab.com.au,,,"C-41, B&W","35mm, 120",,,Available,,Rush order (next day),"4-6 days (C-41), 5-7 days (B&W)","Frontier & Noritsu scanners, equal treatment for all rolls",Yes,"Born out of necessity, operates with craftsmanship"
Atkins Lab,"89 Fullarton Rd, Kent Town SA 5067",Kent Town,SA,https://www.atkins.com.au,(08) 8431 6755,,"C-41, B&W (hand processed)","35mm, 120, large format",,"$33.33 (small), $39.93 (medium), $58.30 (large)",$58.30,Available,Available,Up to 10 business days,"Professional grade, dip & dunk processing, pro client programs",Yes,"Premium quality lab, discounts for 10+ rolls"
Adelaide Photo Factory,"66 Gawler Place, Adelaide SA 5000",Adelaide,SA,https://adelaidephotofactory.com.au,(08) 8221 6500,apf.lab1@gmail.com,"C-41, B&W (hand processed)","35mm, APS, 120","$11 (C-41), $15 (B&W)",$22-$26,$26,"$14-$20 (C-41), $20-$30 (B&W)",,2-3 days,"On-site development, archival solutions, slide scanning",,Established photo lab with comprehensive services
Hutt Street Photos,Adelaide CBD,Adelaide,SA,https://www.huttstreetphotos.com.au,,,"C-41, B&W, E-6","35mm, 120, disposable cameras",,,,Available,,Fast processing,"Kodak Express location, disposable camera processing",,Quality photo lab serving diverse clients
Photoco Camera,Adelaide,Adelaide,SA,https://photococamera.com,,,"C-41, B&W, E-6","35mm, disposable cameras",,Available,,Available,24/7 after hours service,Same day available,"Professional scanners, 24/7 letterbox drop-off",Yes,"Mon-Sat processing, 70+ years combined experience"
Silver Halide Studios,"Mount Lawley, Perth",Mount Lawley,WA,https://www.silverhalidestudios.com.au,,,"C-41, B&W, E-6, Cinema (Remjet)","35mm, 120, disposable cameras",,,,,Available,,"Multiple drop boxes across WA, workshops, sustainability focus",Yes,"Founded 2019, community-focused, silver reclamation"
Lab West Film,"Perth, WA",Perth,WA,https://labwestfilm.com,,,"Film processing, archival services",Multiple formats,,,,,,,"Modern lab, archival service, print studio",,"Focus on quality, innovation and sustainability"
Camera Electronic,"Murray Street, Perth",Perth,WA,https://www.cameraelectronic.com.au,,,"C-41, B&W, Medium & Large Format","35mm, 120, large format",,,,,,"2 days (C-41), 2 weeks (B&W/LF)","Over 50 years in WA photography, in-house processing",,Established photography store with new film services
Fitzgerald Photo,Perth,Perth,WA,https://fitzgeraldphoto.com.au,,,"C-41, B&W, Medium & Large Format, Lomo & Holga","35mm, 120, large format",,,Available (up to 6400dpi),Available,,,"Processing since 1967, push/pull available, Imacon scanner",Yes,"Expert film processing, archiving & scanning services"
